normalized_words,moliere_frequency,moliere_count,corneille_frequency,corneille_count,alpha,unnormalized_word
ainsi,0.0013492424735028286,166,0.0022626049220578997,317,0.5963226104341965,ainsi
jour,0.0011866831393458612,146,0.002005652943527665,281,0.5916692332915038,jour
peine,0.0010728916054359842,132,0.0018272140695483356,256,0.5871734589375122,peine
vie,0.0011948111060537097,147,0.0020484782732827045,287,0.5832676487893691,vie
l'amour,0.0011866831393458612,146,0.0020484782732827045,287,0.5792998416547475,l'amour
main,0.0012760907731321932,157,0.0022197795923028607,311,0.5748727385174045,main
nos,0.0016581052084010664,204,0.002933535088220179,411,0.5652242630603966,nos
ni,0.0009347161714025619,115,0.0016773254154056987,235,0.5572658488433384,ni
trop,0.0032268027830158006,397,0.005938445726032091,832,0.5433749724899588,trop
amour,0.0017556408088952467,216,0.003333238165933878,467,0.5267072802772155,amour
l'autre,0.001048507705312439,129,0.0020484782732827045,287,0.511847120366181,l'autre
leur,0.002048247610377788,252,0.004054131216810369,568,0.5052247943738901,leur
qu'un,0.001471161974120554,181,0.0029763604179752186,417,0.49428219957358777,qu'un
seul,0.0009672280382339554,119,0.0020484782732827045,287,0.4721690490199654,seul
toi,0.0014061382404577671,173,0.0031690744018728944,444,0.44370628838084464,toi
encor,0.0009916119383575005,122,0.0030120481927710845,422,0.32921516353469016,encor
mort,0.0008940763378633202,110,0.0031405241820362017,440,0.28469016190909685,mort
tes,0.0006583653033357175,81,0.0028692970935876205,402,0.2294517722849437,tes
sang,0.0004145263021002666,51,0.0025623822303431736,359,0.16177379673943107,sang
