seuil_pente,seuil_ordonnee_a_l_origine,left_index_caracteristique1,right_index_caracteristique1,left_index_caracteristique2,right_index_caracteristique2,total_points_caracteristique1,total_points_caracteristique2,erreur
0.9,6,0,18,89,99,19,11,0.043624161
0.9,6.5,0,18,89,99,19,11,0.043624161
0.9,7,0,18,89,99,19,11,0.043624161
0.65,6.5,0,18,86,99,19,14,0.043624161
0.7,6,0,18,86,99,19,14,0.043624161
0.65,6.5,0,18,85,99,19,15,0.043624161
0.7,6,0,18,85,99,19,15,0.043624161
0.65,6.5,0,18,84,99,19,16,0.043624161
0.7,6,0,18,84,99,19,16,0.043624161
0.65,7,0,18,81,99,19,19,0.043624161
0.7,6,0,18,81,99,19,19,0.043624161
0.7,6.5,0,18,81,99,19,19,0.043624161
0.75,5.5,0,18,81,99,19,19,0.043624161
0.75,5.5,0,19,85,99,20,15,0.043624161
0.75,5.5,0,19,84,99,20,16,0.043624161
0.65,7,0,19,76,99,20,24,0.043624161
0.7,6,0,19,76,99,20,24,0.043624161
0.7,6.5,0,19,76,99,20,24,0.043624161
0.75,5.5,0,19,76,99,20,24,0.043624161
0.65,7,0,19,75,99,20,25,0.043624161
0.7,6,0,19,75,99,20,25,0.043624161
0.7,6.5,0,19,75,99,20,25,0.043624161
0.75,5.5,0,19,75,99,20,25,0.043624161
0.65,7,0,19,74,99,20,26,0.043624161
0.7,6,0,19,74,99,20,26,0.043624161
0.7,6.5,0,19,74,99,20,26,0.043624161
0.75,5.5,0,19,74,99,20,26,0.043624161
0.65,7,0,21,76,99,22,24,0.043624161
0.7,6,0,21,76,99,22,24,0.043624161
0.7,6.5,0,21,76,99,22,24,0.043624161
0.75,5.5,0,21,76,99,22,24,0.043624161
0.65,7,0,21,75,99,22,25,0.043624161
0.7,6,0,21,75,99,22,25,0.043624161
0.7,6.5,0,21,75,99,22,25,0.043624161
0.75,5.5,0,21,75,99,22,25,0.043624161
0.65,7,0,21,74,99,22,26,0.043624161
0.7,6,0,21,74,99,22,26,0.043624161
0.7,6.5,0,21,74,99,22,26,0.043624161
0.75,5.5,0,21,74,99,22,26,0.043624161
0.7,7.5,0,22,76,99,23,24,0.043624161
0.75,6.5,0,22,76,99,23,24,0.043624161
0.8,5,0,22,76,99,23,24,0.043624161
0.9,2.5,0,22,76,99,23,24,0.043624161
0.7,7.5,0,22,75,99,23,25,0.043624161
0.75,6.5,0,22,75,99,23,25,0.043624161
0.8,5,0,22,75,99,23,25,0.043624161
0.9,2.5,0,22,75,99,23,25,0.043624161
0.7,7.5,0,22,74,99,23,26,0.043624161
0.75,6.5,0,22,74,99,23,26,0.043624161
0.8,5,0,22,74,99,23,26,0.043624161
0.9,2.5,0,22,74,99,23,26,0.043624161
0.7,7.5,0,23,76,99,24,24,0.043624161
0.75,6.5,0,23,76,99,24,24,0.043624161
0.8,5,0,23,76,99,24,24,0.043624161
0.9,2.5,0,23,76,99,24,24,0.043624161
0.7,7.5,0,23,75,99,24,25,0.043624161
0.75,6.5,0,23,75,99,24,25,0.043624161
0.8,5,0,23,75,99,24,25,0.043624161
0.9,2.5,0,23,75,99,24,25,0.043624161
0.7,7.5,0,23,74,99,24,26,0.043624161
0.75,6.5,0,23,74,99,24,26,0.043624161
0.8,5,0,23,74,99,24,26,0.043624161
0.9,2.5,0,23,74,99,24,26,0.043624161
0.7,7,0,23,72,99,24,28,0.043624161
0.7,7.5,0,23,72,99,24,28,0.043624161
0.75,6,0,23,72,99,24,28,0.043624161
0.75,6.5,0,23,72,99,24,28,0.043624161
0.8,5,0,23,72,99,24,28,0.043624161
0.85,3.5,0,23,72,99,24,28,0.043624161
0.9,2.5,0,23,72,99,24,28,0.043624161
0.7,7,0,23,71,99,24,29,0.043624161
0.7,7.5,0,23,71,99,24,29,0.043624161
0.75,6,0,23,71,99,24,29,0.043624161
0.75,6.5,0,23,71,99,24,29,0.043624161
0.8,5,0,23,71,99,24,29,0.043624161
0.85,3.5,0,23,71,99,24,29,0.043624161
0.9,2.5,0,23,71,99,24,29,0.043624161
0.7,7,0,23,70,99,24,30,0.043624161
0.7,7.5,0,23,70,99,24,30,0.043624161
0.75,6,0,23,70,99,24,30,0.043624161
0.75,6.5,0,23,70,99,24,30,0.043624161
0.8,5,0,23,70,99,24,30,0.043624161
0.85,3.5,0,23,70,99,24,30,0.043624161
0.9,2.5,0,23,70,99,24,30,0.043624161
0.6,5.5,0,10,89,99,11,11,0.046979866
0.75,3.5,0,10,89,99,11,11,0.046979866
0.65,4.5,0,10,88,99,11,12,0.046979866
0.8,2.5,0,10,88,99,11,12,0.046979866
0.6,0,0,10,74,99,11,26,0.046979866
0.6,0.5,0,10,74,99,11,26,0.046979866
0.6,0,0,10,73,99,11,27,0.046979866
0.6,0.5,0,10,73,99,11,27,0.046979866
0.65,4.5,0,11,89,99,12,11,0.046979866
0.65,5.5,0,11,89,99,12,11,0.046979866
0.7,4,0,11,89,99,12,11,0.046979866
0.75,3,0,11,89,99,12,11,0.046979866
0.75,4,0,11,89,99,12,11,0.046979866
0.8,2.5,0,11,89,99,12,11,0.046979866
0.85,2,0,11,89,99,12,11,0.046979866
0.6,5,0,11,88,99,12,12,0.046979866
0.6,5.5,0,11,88,99,12,12,0.046979866
0.7,4,0,11,88,99,12,12,0.046979866
0.75,3,0,11,88,99,12,12,0.046979866
0.75,3.5,0,11,88,99,12,12,0.046979866
0.85,2,0,11,88,99,12,12,0.046979866
0.65,0,0,11,74,99,12,26,0.046979866
0.65,0,0,11,73,99,12,27,0.046979866
0.6,4,0,12,89,99,13,11,0.046979866
0.6,4.5,0,12,89,99,13,11,0.046979866
0.6,5,0,12,89,99,13,11,0.046979866
0.7,2.5,0,12,89,99,13,11,0.046979866
0.7,4.5,0,12,89,99,13,11,0.046979866
0.7,5.5,0,12,89,99,13,11,0.046979866
0.75,2,0,12,89,99,13,11,0.046979866
0.75,4.5,0,12,89,99,13,11,0.046979866
0.8,1.5,0,12,89,99,13,11,0.046979866
0.8,3,0,12,89,99,13,11,0.046979866
0.8,3.5,0,12,89,99,13,11,0.046979866
0.85,2.5,0,12,89,99,13,11,0.046979866
0.9,1.5,0,12,89,99,13,11,0.046979866
0.6,5,0,12,88,99,13,12,0.046979866
0.6,5.5,0,12,88,99,13,12,0.046979866
0.65,3.5,0,12,88,99,13,12,0.046979866
0.65,4,0,12,88,99,13,12,0.046979866
0.7,3,0,12,88,99,13,12,0.046979866
0.7,3.5,0,12,88,99,13,12,0.046979866
0.7,4,0,12,88,99,13,12,0.046979866
0.75,2.5,0,12,88,99,13,12,0.046979866
0.75,3,0,12,88,99,13,12,0.046979866
0.75,3.5,0,12,88,99,13,12,0.046979866
