normalized_words,moliere_count_in_percentage,moliere_count,corneille_count_in_percentage,corneille_count,moliere_most_common_original_word,moliere_most_common_original_word_count,corneille_most_common_original_word,corneille_most_common_original_word_count
clarimond,0.0,0,0.00019104512706337923,52,,,Clarimond,52.0
clarin,0.0,0,4.041339226340714e-05,11,,,Clarine,11.0
clart,7.058896609753136e-05,25,6.98049502731578e-05,19,clartés,15.0,clarté,12.0
class,5.647117287802509e-06,2,0.0,0,classe,2.0,,
claud,8.470675931703763e-06,3,0.0,0,Claude,3.0,,
claudin,0.00010729522846824767,38,0.0,0,Claudine,38.0,,
clavecin,5.647117287802509e-06,2,0.0,0,clavecin,2.0,,
cle,0.00015247216677066774,54,5.1435226517063636e-05,14,Cléante,53.0,Cléante,13.0
cleandr,0.0,0,0.0002902416353462877,79,,,Cléandre,79.0
cleanth,0.0001863548704974828,66,0.0,0,Cléanthis,66.0,,
clef,2.8235586439012545e-05,10,1.4695779004875325e-05,4,clef,8.0,clefs,4.0
clel,5.647117287802509e-06,2,0.0,0,Clélie,2.0,,
clemenc,0.0,0,4.408733701462598e-05,12,,,clémence,12.0
cleobul,0.0,0,8.082678452681428e-05,22,,,Cléobule,22.0
cleon,8.470675931703763e-06,3,9.919650828290844e-05,27,Cléon,3.0,Cléone,14.0
cleonic,2.8235586439012545e-05,10,0.0,0,Cléonice,10.0,,
cleont,7.905964202923513e-05,28,0.0,0,Cléonte,28.0,,
cleopatr,0.0,0,0.0005621135469364812,153,,,Cléopâtre,152.0
clerc,3.3882703726815053e-05,12,7.347889502437663e-06,2,Clerc,6.0,Clercs,1.0
cli,5.647117287802509e-06,2,0.0,0,Cli,1.0,,
climat,5.647117287802509e-06,2,3.306550276096948e-05,9,climats,2.0,climat,6.0
climen,4.517693830242007e-05,16,1.1021834253656494e-05,3,Climène,16.0,Climène,3.0
clin,5.647117287802509e-06,2,0.0,0,clin,1.0,,
clindor,0.0,0,0.00013226201104387793,36,,,Clindor,36.0
clitand,2.8235586439012545e-06,1,0.0,0,Clitande,1.0,,
clitandr,0.000621182901658276,220,0.00019104512706337923,52,Clitandre,220.0,Clitandre,52.0
clitid,9.88245525365439e-05,35,0.0,0,Clitidas,35.0,,
cliton,0.0,0,0.0004849607071608857,132,,,Cliton,132.0
cloch,1.1294234575605018e-05,4,0.0,0,cloche,2.0,,
clocher,2.8235586439012545e-06,1,0.0,0,clochers,1.0,,
cloitr,0.0,0,2.5717613258531818e-05,7,,,cloître,7.0
clor,1.1294234575605018e-05,4,7.347889502437663e-06,2,Cloris,4.0,Clore,1.0
clos,8.470675931703763e-06,3,7.347889502437663e-06,2,close,3.0,close,1.0
clotur,2.8235586439012545e-06,1,0.0,0,clôture,1.0,,
clou,5.647117287802509e-06,2,0.0,0,clou,1.0,,
clous,0.0,0,3.6739447512188313e-06,1,,,clous,1.0
clymen,1.1294234575605018e-05,4,0.0,0,Clymène,4.0,,
clyster,3.10591450829138e-05,11,0.0,0,clystère,10.0,,
co,2.8235586439012545e-06,1,0.0,0,co,1.0,,
coch,3.10591450829138e-05,11,2.204366850731299e-05,6,cocher,7.0,cocher,5.0
cochon,5.647117287802509e-06,2,0.0,0,cochon,1.0,,
cocu,5.0824055590222584e-05,18,0.0,0,cocu,17.0,,
cocuag,1.1294234575605018e-05,4,0.0,0,cocuage,4.0,,
cocuf,2.8235586439012545e-06,1,0.0,0,cocufié,1.0,,
cocus,1.4117793219506272e-05,5,0.0,0,cocus,5.0,,
cod,0.0,0,7.347889502437663e-06,2,,,Code,1.0
coeur,0.0026117917456086603,925,0.00289139451920922,787,coeur,848.0,coeur,717.0
coffr,8.470675931703763e-06,3,7.347889502437663e-06,2,coffres,2.0,coffre,1.0
coffret,1.4117793219506272e-05,5,0.0,0,coffret,5.0,,
cogl,2.8235586439012545e-06,1,0.0,0,coglie,1.0,,
cogn,2.8235586439012545e-06,1,0.0,0,cogné,1.0,,
cognent,2.8235586439012545e-06,1,0.0,0,cognent,1.0,,
cohort,0.0,0,1.4695779004875325e-05,4,,,cohorte,2.0
cohu,8.470675931703763e-06,3,0.0,0,cohue,3.0,,
coiff,3.10591450829138e-05,11,1.4695779004875325e-05,4,coiffes,4.0,coiffe,3.0
coiffe,2.8235586439012545e-06,1,0.0,0,coiffée,1.0,,
coiffent,2.8235586439012545e-06,1,0.0,0,coiffent,1.0,,
coiffeux,2.8235586439012545e-06,1,0.0,0,coiffeuses,1.0,,
coiffur,5.647117287802509e-06,2,0.0,0,coiffure,2.0,,
coin,3.9529821014617566e-05,14,5.1435226517063636e-05,14,coin,12.0,coin,12.0
coing,2.8235586439012545e-06,1,0.0,0,coing,1.0,,
col,5.647117287802509e-06,2,0.0,0,Col,1.0,,
colchos,0.0,0,7.347889502437663e-06,2,,,Colchos,2.0
colei,5.647117287802509e-06,2,0.0,0,colei,2.0,,
coler,0.0003049443335413355,108,0.0005621135469364812,153,colère,106.0,colère,151.0
colere,0.0,0,3.6739447512188313e-06,1,,,colérée,1.0
colifichet,2.8235586439012545e-06,1,0.0,0,colifichets,1.0,,
colin,5.647117287802509e-05,20,0.0,0,Colin,20.0,,
coliqu,5.647117287802509e-06,2,0.0,0,colique,1.0,,
coll,2.8235586439012545e-06,1,0.0,0,coller,1.0,,
collat,1.1294234575605018e-05,4,4.041339226340714e-05,11,collation,4.0,collation,11.0
collateral,0.0,0,3.6739447512188313e-06,1,,,collatéraux,1.0
colleg,1.4117793219506272e-05,5,0.0,0,collège,4.0,,
collegium,2.8235586439012545e-06,1,0.0,0,collégium,1.0,,
collet,1.4117793219506272e-05,5,7.347889502437663e-06,2,collet,4.0,collet,1.0
colon,2.8235586439012545e-06,1,7.347889502437663e-06,2,colonnes,1.0,colonnes,2.0
color,0.0,0,1.1021834253656494e-05,3,,,colore,1.0
colore,2.8235586439012545e-06,1,0.0,0,colorées,1.0,,
com,2.8235586439012545e-06,1,0.0,0,com,1.0,,
combat,7.905964202923513e-05,28,0.00042985153589260327,117,combat,19.0,combat,87.0
combatt,1.6941351863407527e-05,6,6.98049502731578e-05,19,combattants,2.0,combattants,9.0
combattent,2.8235586439012545e-06,1,3.6739447512188313e-06,1,combattent,1.0,combattent,1.0
combattr,2.5412027795111292e-05,9,0.00012124017679022143,33,combattre,8.0,combattre,30.0
combattron,0.0,0,3.6739447512188313e-06,1,,,combattrons,1.0
combattront,2.8235586439012545e-06,1,1.1021834253656494e-05,3,combattront,1.0,combattront,3.0
combattu,1.6941351863407527e-05,6,6.98049502731578e-05,19,combattu,5.0,combattu,17.0
combattus,5.647117287802509e-06,2,0.0,0,combattus,2.0,,
combien,0.00011576590439995144,41,0.00016900145855606622,46,combien,32.0,combien,28.0
combl,3.9529821014617566e-05,14,0.00020941485081947338,57,comble,6.0,comble,35.0
comble,0.0,0,3.6739447512188313e-06,1,,,comblée,1.0
comblent,2.8235586439012545e-06,1,0.0,0,comblent,1.0,,
combleroit,2.8235586439012545e-06,1,0.0,0,combleroit,1.0,,
combust,8.470675931703763e-06,3,0.0,0,combustion,2.0,,
comed,0.0002936500989657305,104,3.673944751218831e-05,10,comédie,84.0,comédie,10.0
comedien,9.035387660484014e-05,32,1.1021834253656494e-05,3,comédiens,19.0,comédiens,2.0
comet,5.647117287802509e-06,2,0.0,0,comète,1.0,,
comiqu,1.4117793219506272e-05,5,3.6739447512188313e-06,1,comique,4.0,comique,1.0
comm,0.0028207350852573533,999,0.002094148508194734,570,comme,883.0,comme,422.0
command,9.88245525365439e-05,35,0.00036739447512188313,100,commande,7.0,commandement,29.0
commandat,0.0,0,3.6739447512188313e-06,1,,,commandât,1.0
commandent,0.0,0,3.6739447512188313e-06,1,,,commandent,1.0
commandeur,3.3882703726815053e-05,12,0.0,0,Commandeur,11.0,,
commandoit,2.8235586439012545e-06,1,0.0,0,commandoit,1.0,,
commenc,0.00015247216677066774,54,0.00017267540330728507,47,commencer,15.0,commence,19.0
commence,0.0,0,7.347889502437663e-06,2,,,commencée,2.0
commencent,1.1294234575605018e-05,4,0.0,0,commencent,4.0,,
commencoient,2.8235586439012545e-06,1,0.0,0,commençoient,1.0,,
commencois,2.8235586439012545e-06,1,0.0,0,commençois,1.0,,
commencon,1.9764910507308783e-05,7,7.347889502437663e-06,2,commençons,4.0,Commençons,1.0
comment,0.0008978916487605989,318,0.0001285880662926591,35,Comment,246.0,comment,22.0
commer,2.8235586439012545e-06,1,0.0,0,commère,1.0,,
commerc,9.600099389264265e-05,34,3.306550276096948e-05,9,commerce,31.0,commerce,8.0
commet,8.470675931703763e-06,3,1.4695779004875325e-05,4,commets,2.0,Commet,1.0
commettent,2.8235586439012545e-06,1,0.0,0,commettent,1.0,,
commettr,4.2353379658518815e-05,15,2.204366850731299e-05,6,commettre,15.0,commettre,5.0
commis,8.470675931703763e-06,3,7.347889502437663e-06,2,commise,2.0,commise,2.0
commiss,3.9529821014617566e-05,14,7.347889502437663e-06,2,commission,14.0,commission,2.0
commissair,0.00012706013897555645,45,0.0,0,Commissaire,39.0,,
commo,2.8235586439012545e-06,1,0.0,0,commo,1.0,,
commod,2.5412027795111292e-05,9,2.939155800975065e-05,8,commode,6.0,commode,7.0
commodit,1.1294234575605018e-05,4,0.0,0,commodité,3.0,,
commun,0.00013270725626335895,47,0.0002351324640780052,64,commun,23.0,commun,27.0
communaut,2.8235586439012545e-06,1,0.0,0,communauté,1.0,,
communiqu,5.647117287802509e-06,2,1.1021834253656494e-05,3,communiquer,2.0,communiquer,3.0
comp,5.647117287802509e-06,2,3.6739447512188313e-06,1,compas,1.0,compassés,1.0
compagn,0.00010729522846824767,38,4.7761281765844806e-05,13,compagnie,33.0,compagnie,10.0
compagnon,1.1294234575605018e-05,4,2.204366850731299e-05,6,compagnons,3.0,compagnons,3.0
compar,3.10591450829138e-05,11,2.939155800975065e-05,8,comparable,6.0,comparable,3.0
comparaison,3.3882703726815053e-05,12,1.4695779004875325e-05,4,comparaison,11.0,comparaison,4.0
compass,5.647117287802509e-06,2,5.5109171268282465e-05,15,compassion,2.0,compassion,15.0
compat,1.4117793219506272e-05,5,1.8369723756094156e-05,5,compatis,4.0,compatisse,3.0
compatibl,2.8235586439012545e-06,1,0.0,0,compatible,1.0,,
comper,2.5412027795111292e-05,9,0.0,0,compère,7.0,,
compescer,2.8235586439012545e-06,1,0.0,0,compescere,1.0,,
competent,2.8235586439012545e-06,1,0.0,0,compétent,1.0,,
competit,2.8235586439012545e-06,1,0.0,0,compétiter,1.0,,
compl,0.00011858946304385269,42,0.0001653275138048474,45,compliment,32.0,compliment,26.0
complair,8.470675931703763e-06,3,3.6739447512188313e-06,1,complaire,3.0,complaire,1.0
complais,0.00011576590439995144,41,9.184861878047078e-05,25,complaisance,26.0,complaisance,17.0
complaisan,2.8235586439012545e-06,1,0.0,0,complaisans,1.0,,
complet,2.8235586439012545e-06,1,3.6739447512188313e-06,1,complète,1.0,complète,1.0
complex,2.8235586439012545e-06,1,0.0,0,complexions,1.0,,
complexion,5.647117287802509e-06,2,0.0,0,complexion,2.0,,
complic,8.470675931703763e-06,3,7.715283977559545e-05,21,complice,3.0,complice,14.0
compliqu,2.8235586439012545e-06,1,0.0,0,complication,1.0,,
complot,5.647117287802509e-06,2,2.204366850731299e-05,6,complot,1.0,complots,4.0
complote,0.0,0,3.6739447512188313e-06,1,,,complotée,1.0
comport,5.647117287802509e-06,2,0.0,0,comporter,1.0,,
compos,7.905964202923513e-05,28,3.6739447512188313e-06,1,composé,11.0,composer,1.0
compose,1.4117793219506272e-05,5,0.0,0,composée,5.0,,
composent,5.647117287802509e-06,2,0.0,0,composent,2.0,,
composit,2.8235586439012545e-06,1,0.0,0,compositions,1.0,,
compositeur,2.8235586439012545e-06,1,0.0,0,compositeurs,1.0,,
composoit,2.8235586439012545e-06,1,0.0,0,composoit,1.0,,
composon,0.0,0,3.6739447512188313e-06,1,,,composons,1.0
compot,2.8235586439012545e-06,1,0.0,0,compote,1.0,,
compr,2.2588469151210036e-05,8,3.6739447512188313e-06,1,compris,8.0,compris,1.0
comprar,1.4117793219506272e-05,5,0.0,0,comprara,5.0,,
compren,1.1294234575605018e-05,4,0.0,0,comprenez,4.0,,
comprend,5.647117287802509e-05,20,1.4695779004875325e-05,4,comprends,17.0,comprends,4.0
comprendr,7.058896609753136e-05,25,7.715283977559545e-05,21,comprendre,25.0,comprendre,21.0
comprenoit,2.8235586439012545e-06,1,0.0,0,comprenoit,1.0,,
compris,2.8235586439012545e-06,1,0.0,0,comprises,1.0,,
comprom,2.8235586439012545e-06,1,0.0,0,compromis,1.0,,
compt,0.00015247216677066774,54,0.00016900145855606622,46,compte,26.0,compte,38.0
comptabl,0.0,0,3.6739447512188313e-06,1,,,comptable,1.0
comptent,5.647117287802509e-06,2,3.6739447512188313e-06,1,comptent,2.0,comptent,1.0
comt,6.776540745363011e-05,24,7.347889502437662e-05,20,Comte,19.0,comte,16.0
comtess,0.00031906212676084173,113,0.0,0,Comtesse,104.0,,
con,3.9529821014617566e-05,14,0.0004335254806438221,118,con,9.0,connais,91.0
concavit,5.647117287802509e-06,2,0.0,0,concavité,2.0,,
conced,8.470675931703763e-06,3,0.0,0,concédé,2.0,,
concedo,2.8235586439012545e-06,1,0.0,0,concedo,1.0,,
concept,2.8235586439012545e-06,1,0.0,0,conception,1.0,,
concert,3.10591450829138e-05,11,4.041339226340714e-05,11,concert,5.0,concerts,3.0
concerte,5.647117287802509e-06,2,0.0,0,concertée,2.0,,
concev,2.2588469151210036e-05,8,1.8369723756094156e-05,5,concevez,4.0,concevez,2.0
concevoir,5.364761423412383e-05,19,2.939155800975065e-05,8,concevoir,19.0,concevoir,7.0
concierg,0.0,0,2.204366850731299e-05,6,,,concierge,6.0
conclu,3.670626237071631e-05,13,1.4695779004875325e-05,4,conclu,9.0,conclue,4.0
conclum,2.8235586439012545e-06,1,0.0,0,conclûmes,1.0,,
conclur,3.9529821014617566e-05,14,7.347889502437663e-06,2,conclure,14.0,conclure,2.0
concluroient,2.8235586439012545e-06,1,0.0,0,concluroient,1.0,,
conclus,1.9764910507308783e-05,7,0.0,0,conclusion,5.0,,
conclut,1.4117793219506272e-05,5,1.1021834253656494e-05,3,conclut,4.0,conclut,3.0
concois,1.6941351863407527e-05,6,1.8369723756094156e-05,5,conçois,6.0,conçois,5.0
concoit,5.647117287802509e-06,2,2.204366850731299e-05,6,conçoit,2.0,conçoit,5.0
concoiv,0.0,0,3.6739447512188313e-06,1,,,Conçoive,1.0
concoivent,2.8235586439012545e-06,1,3.6739447512188313e-06,1,conçoivent,1.0,conçoivent,1.0
concord,0.0,0,3.6739447512188313e-06,1,,,concorde,1.0
concordat,2.8235586439012545e-06,1,0.0,0,concordat,1.0,,
concour,2.8235586439012545e-06,1,0.0,0,concours,1.0,,
concu,3.670626237071631e-05,13,5.1435226517063636e-05,14,conçu,9.0,conçu,7.0
concubinag,2.8235586439012545e-06,1,0.0,0,concubinage,1.0,,
concurrent,8.470675931703763e-06,3,1.8369723756094156e-05,5,concurrence,3.0,concurrence,4.0
concus,0.0,0,3.6739447512188313e-06,1,,,conçus,1.0
concussent,0.0,0,3.6739447512188313e-06,1,,,conçussent,1.0
concut,5.647117287802509e-06,2,3.6739447512188313e-06,1,conçut,2.0,conçût,1.0
condamn,0.00016376640134627276,58,9.919650828290844e-05,27,condamner,22.0,condamne,12.0
condamne,2.2588469151210036e-05,8,2.204366850731299e-05,6,condamnée,7.0,condamnée,6.0
condamnent,8.470675931703763e-06,3,0.0,0,condamnent,3.0,,
condamnerois,2.8235586439012545e-06,1,0.0,0,condamnerois,1.0,,
condescendr,2.8235586439012545e-06,1,0.0,0,condescendre,1.0,,
condit,7.341252474143262e-05,26,0.00011021834253656493,30,condition,20.0,condition,21.0
condition,8.470675931703763e-06,3,0.0,0,conditionnés,2.0,,
conditionne,2.8235586439012545e-06,1,0.0,0,conditionnée,1.0,,
conducteur,2.8235586439012545e-06,1,7.347889502437663e-06,2,conducteurs,1.0,conducteur,2.0
conduir,8.470675931703763e-05,30,0.00010287045303412727,28,conduire,29.0,conduire,26.0
conduiron,2.8235586439012545e-06,1,0.0,0,conduirons,1.0,,
conduis,3.10591450829138e-05,11,2.939155800975065e-05,8,conduise,4.0,conduisait,3.0
conduisent,2.8235586439012545e-06,1,0.0,0,conduisent,1.0,,
conduisoit,2.8235586439012545e-06,1,0.0,0,conduisoit,1.0,,
conduison,2.8235586439012545e-06,1,3.6739447512188313e-06,1,Conduisons,1.0,conduisons,1.0
conduit,0.0001976491050730878,70,0.0001285880662926591,35,conduite,51.0,conduite,17.0
conf,2.2588469151210036e-05,8,7.347889502437663e-06,2,confie,3.0,confié,1.0
conferent,1.4117793219506272e-05,5,1.4695779004875325e-05,4,conférence,4.0,conférence,4.0
confess,0.00011294234575605018,40,9.919650828290844e-05,27,confesse,20.0,confesse,12.0
confi,1.4117793219506272e-05,5,3.6739447512188313e-06,1,confier,4.0,confier,1.0
confianc,1.9764910507308783e-05,7,3.673944751218831e-05,10,confiance,7.0,confiance,10.0
confident,9.31774352487414e-05,33,0.00013226201104387793,36,confidence,21.0,confidence,22.0
confie,5.647117287802509e-06,2,0.0,0,confiée,2.0,,
confin,2.8235586439012545e-06,1,0.0,0,confins,1.0,,
confirm,3.9529821014617566e-05,14,1.4695779004875325e-05,4,confirmer,5.0,confirmer,2.0
confirme,5.647117287802509e-06,2,0.0,0,confirmée,1.0,,
confirment,2.8235586439012545e-06,1,0.0,0,confirment,1.0,,
confirmoient,2.8235586439012545e-06,1,0.0,0,confirmoient,1.0,,
confisqu,0.0,0,3.6739447512188313e-06,1,,,confisqué,1.0
confitur,5.647117287802509e-06,2,1.4695779004875325e-05,4,confitures,2.0,confitures,4.0
confl,2.8235586439012545e-06,1,0.0,0,conflit,1.0,,
confond,3.670626237071631e-05,13,4.041339226340714e-05,11,confonde,7.0,confond,6.0
confondent,5.647117287802509e-06,2,7.347889502437663e-06,2,confondent,2.0,confondent,2.0
confondon,2.8235586439012545e-06,1,0.0,0,Confondons,1.0,,
confondr,7.341252474143262e-05,26,4.408733701462598e-05,12,confondre,25.0,confondre,7.0
confondu,5.647117287802509e-06,2,1.8369723756094156e-05,5,Confondu,1.0,confondu,4.0
confondus,5.647117287802509e-06,2,1.1021834253656494e-05,3,confondus,2.0,confondus,3.0
conform,2.8235586439012545e-06,1,7.347889502437663e-06,2,conforme,1.0,conforme,1.0
conformit,8.470675931703763e-06,3,0.0,0,conformité,3.0,,
confort,0.0,0,7.347889502437663e-06,2,,,confort,1.0
conforto,2.8235586439012545e-06,1,0.0,0,conforto,1.0,,
confrer,1.6941351863407527e-05,6,0.0,0,confrères,3.0,,
confront,2.8235586439012545e-06,1,0.0,0,confrontation,1.0,,
confus,0.0001411779321950627,50,0.000326981082858476,89,confusion,26.0,confus,47.0
confusiu,2.8235586439012545e-06,1,0.0,0,confusiu,1.0,,
cong,3.9529821014617566e-05,14,4.7761281765844806e-05,13,congé,14.0,congé,13.0
conged,2.8235586439012545e-06,1,0.0,0,congédié,1.0,,
conglutin,2.8235586439012545e-06,1,0.0,0,conglutiner,1.0,,
congratul,2.8235586439012545e-06,1,0.0,0,congratulantes,1.0,,
congru,5.647117287802509e-06,2,3.6739447512188313e-06,1,congruante,1.0,congrûment,1.0
conjectur,2.2588469151210036e-05,8,4.408733701462598e-05,12,conjecture,6.0,conjecture,6.0
conjoint,5.647117287802509e-06,2,0.0,0,conjoints,2.0,,
conjonct,2.8235586439012545e-06,1,0.0,0,conjonction,1.0,,
conjonctur,1.4117793219506272e-05,5,1.1021834253656494e-05,3,conjoncture,3.0,conjoncture,3.0
conjugal,8.470675931703763e-06,3,3.306550276096948e-05,9,conjugal,2.0,conjugal,7.0
conjur,0.00015247216677066774,54,0.0001065443977853461,29,conjure,46.0,conjurés,14.0
conjuron,0.0,0,3.6739447512188313e-06,1,,,conjurons,1.0
connaiss,2.8235586439012545e-06,1,0.00017267540330728507,47,connaissez,1.0,connaissez,18.0
connaissent,0.0,0,7.347889502437663e-06,2,,,connaissent,2.0
connaisson,0.0,0,3.6739447512188313e-06,1,,,connaissons,1.0
connaitr,1.9764910507308783e-05,7,0.0003526986961170078,96,connaître,7.0,connaître,92.0
connaitront,0.0,0,3.6739447512188313e-06,1,,,connaîtront,1.0
connexit,5.647117287802509e-06,2,0.0,0,connexité,2.0,,
conniv,0.0,0,3.6739447512188313e-06,1,,,conniver,1.0
connoi,5.647117287802509e-06,2,1.1021834253656494e-05,3,connoi,2.0,connoi,3.0
connois,0.0001609428427023715,57,0.0,0,connois,56.0,,
connoiss,0.0001863548704974828,66,3.6739447512188313e-06,1,connoissez,26.0,connoissez,1.0
connoissent,8.470675931703763e-06,3,0.0,0,connoissent,3.0,,
connoisseur,2.8235586439012545e-06,1,0.0,0,connoisseurs,1.0,,
connoissois,1.1294234575605018e-05,4,0.0,0,connoissois,4.0,,
connoissoit,5.647117287802509e-06,2,0.0,0,connoissoit,2.0,,
connoisson,1.4117793219506272e-05,5,0.0,0,connoissons,5.0,,
connoistr,5.647117287802509e-06,2,0.0,0,connoistre,2.0,,
connoit,4.800049694632133e-05,17,0.0,0,connoît,17.0,,
connoitr,0.00027106162981452043,96,0.0,0,connoître,88.0,,
connoitront,5.647117287802509e-06,2,0.0,0,connoîtront,2.0,,
connu,0.00013835437355116148,49,0.00012124017679022143,33,connu,34.0,connu,22.0
connum,2.8235586439012545e-06,1,0.0,0,connûmes,1.0,,
connus,1.4117793219506272e-05,5,1.4695779004875325e-05,4,connus,5.0,connus,4.0
connut,2.8235586439012545e-06,1,7.347889502437663e-06,2,connût,1.0,connut,1.0
conqu,5.647117287802509e-06,2,1.1021834253656494e-05,3,conques,1.0,conquis,3.0
conquer,1.4117793219506272e-05,5,1.8369723756094156e-05,5,conquérants,4.0,conquérir,3.0
conquet,7.058896609753136e-05,25,9.552256353168961e-05,26,conquête,15.0,conquête,22.0
conquis,0.0,0,7.347889502437663e-06,2,,,conquise,2.0
consacr,8.470675931703763e-06,3,7.347889502437663e-06,2,consacre,2.0,Consacrer,1.0
consacrent,0.0,0,3.6739447512188313e-06,1,,,consacrent,1.0
consacroit,2.8235586439012545e-06,1,0.0,0,consacroit,1.0,,
conscienc,8.188320067313638e-05,29,2.204366850731299e-05,6,conscience,29.0,conscience,6.0
conseil,0.00021459045693649533,76,0.0002865676905950688,78,conseil,27.0,conseil,37.0
conseillat,2.8235586439012545e-06,1,0.0,0,conseillât,1.0,,
conseilleroit,2.8235586439012545e-06,1,0.0,0,conseilleroit,1.0,,
conseillois,2.8235586439012545e-06,1,0.0,0,conseillois,1.0,,
consen,0.00011011878711214893,39,6.98049502731578e-05,19,consens,39.0,consens,19.0
consent,0.0002541202779511129,90,0.00032330713810725713,88,consentir,32.0,consentir,41.0
consentois,2.8235586439012545e-06,1,0.0,0,consentois,1.0,,
consenton,1.4117793219506272e-05,5,0.0,0,consentons,5.0,,
consequent,5.9294731521926345e-05,21,2.939155800975065e-05,8,conséquence,14.0,conséquence,5.0
consequentiam,2.8235586439012545e-06,1,0.0,0,consequentiam,1.0,,
conserv,0.00012141302168775394,43,0.0004592430939023539,125,conserver,16.0,conserver,50.0
conserve,2.8235586439012545e-06,1,7.347889502437663e-06,2,conservées,1.0,conservée,2.0
conservent,0.0,0,1.8369723756094156e-05,5,,,conservent,4.0
conservon,5.647117287802509e-06,2,3.6739447512188313e-06,1,Conservons,2.0,conservons,1.0
consid,1.4117793219506272e-05,5,6.245706077072014e-05,17,Considérez,2.0,Considérez,9.0
consider,0.00018353131185358155,65,0.0001432838452975344,39,considérable,18.0,considère,13.0
considere,5.647117287802509e-06,2,1.1021834253656494e-05,3,considérée,2.0,considérée,3.0
consist,1.9764910507308783e-05,7,2.204366850731299e-05,6,consiste,7.0,consiste,6.0
consol,9.31774352487414e-05,33,0.0001432838452975344,39,consolation,14.0,consoler,18.0
console,0.0,0,3.6739447512188313e-06,1,,,consolée,1.0
consolent,5.647117287802509e-06,2,0.0,0,consolent,2.0,,
consolerois,2.8235586439012545e-06,1,0.0,0,consolerois,1.0,,
consomm,2.2588469151210036e-05,8,0.0,0,consomme,4.0,,
consomme,2.8235586439012545e-06,1,0.0,0,consommée,1.0,,
conson,1.1294234575605018e-05,4,0.0,0,consonnes,3.0,,
consp,2.8235586439012545e-06,1,1.8369723756094156e-05,5,Conspirent,1.0,conspirent,3.0
conspir,1.1294234575605018e-05,4,5.87831160195013e-05,16,conspire,3.0,conspire,8.0
conssiensso,2.8235586439012545e-06,1,0.0,0,conssiensso,1.0,,
const,5.9294731521926345e-05,21,5.1435226517063636e-05,14,constant,9.0,constant,8.0
constanc,3.10591450829138e-05,11,0.0001065443977853461,29,constance,11.0,constance,29.0
constantin,0.0,0,1.1021834253656494e-05,3,,,CONSTANTINE,1.0
constanz,5.647117287802509e-06,2,0.0,0,Constanza,2.0,,
constat,2.8235586439012545e-06,1,0.0,0,constat,1.0,,
constel,5.647117287802509e-06,2,0.0,0,constellé,1.0,,
constitu,2.2588469151210036e-05,8,0.0,0,constitution,5.0,,
construct,2.8235586439012545e-06,1,0.0,0,construction,1.0,,
construit,2.8235586439012545e-06,1,0.0,0,construite,1.0,,
consul,2.8235586439012545e-06,1,1.4695779004875325e-05,4,consul,1.0,consuls,3.0
consulat,0.0,0,7.347889502437663e-06,2,,,consulat,2.0
consult,0.00010729522846824767,38,8.082678452681428e-05,22,consulter,23.0,consulter,6.0
consultent,5.647117287802509e-06,2,0.0,0,Consultent,1.0,,
consulton,2.8235586439012545e-06,1,7.347889502437663e-06,2,consultons,1.0,Consultons,1.0
consum,2.8235586439012545e-06,1,4.7761281765844806e-05,13,Consuma,1.0,consume,5.0
consume,5.647117287802509e-06,2,0.0,0,consumée,2.0,,
consumon,0.0,0,3.6739447512188313e-06,1,,,consumons,1.0
cont,0.00025976739523891543,92,0.00037841630937553964,103,conter,31.0,conte,44.0
contagi,0.0,0,3.6739447512188313e-06,1,,,contagieux,1.0
contan,2.8235586439012545e-06,1,0.0,0,contané,1.0,,
contempl,1.6941351863407527e-05,6,3.306550276096948e-05,9,Contempler,2.0,contemple,6.0
conten,2.8235586439012545e-06,1,1.8369723756094156e-05,5,contenance,1.0,contenir,3.0
content,0.00041223956200958314,146,0.00046659098340479154,127,content,47.0,content,28.0
contentent,8.470675931703763e-06,3,0.0,0,contentent,3.0,,
contento,5.647117287802509e-06,2,0.0,0,contento,2.0,,
contentoient,2.8235586439012545e-06,1,0.0,0,contentoient,1.0,,
contenton,2.8235586439012545e-06,1,3.6739447512188313e-06,1,contentons,1.0,contentons,1.0
contest,3.10591450829138e-05,11,2.5717613258531818e-05,7,contester,5.0,conteste,3.0
conteste,5.647117287802509e-06,2,0.0,0,contestée,1.0,,
contesteroit,2.8235586439012545e-06,1,0.0,0,contesteroit,1.0,,
contestois,2.8235586439012545e-06,1,0.0,0,contestois,1.0,,
conteur,2.8235586439012545e-06,1,1.4695779004875325e-05,4,conteur,1.0,conteur,2.0
contien,2.8235586439012545e-06,1,0.0,0,contiens,1.0,,
contient,1.1294234575605018e-05,4,7.347889502437663e-06,2,contient,4.0,Contient,1.0
continu,8.470675931703763e-05,30,0.0001432838452975344,39,continue,15.0,continue,28.0
continuel,1.9764910507308783e-05,7,0.0,0,continuels,4.0,,
continueroit,2.8235586439012545e-06,1,0.0,0,continueroit,1.0,,
continuion,2.8235586439012545e-06,1,0.0,0,continuions,1.0,,
contoit,8.470675931703763e-06,3,0.0,0,contoit,2.0,,
contors,5.647117287802509e-06,2,0.0,0,contorsions,2.0,,
contr,0.0008047142135118575,285,0.0009478777458144584,258,contre,247.0,contre,209.0
contr'eux,0.0,0,7.347889502437663e-06,2,,,Contr'eux,2.0
